Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Aaron Nola,30,12,9,0.571,4.46,32,32,0,0,0,0,193.2,178,105,96,32,45,0,202,1,0,2,793,96,4.03,1.151,8.3,1.5,2.1,9.4,4.49,Right,No
2,2023,SP,Zack Wheeler,33,13,6,0.684,3.61,32,32,0,0,0,0,192.0,168,82,77,20,39,0,212,9,0,1,787,119,3.15,1.078,7.9,0.9,1.8,9.9,5.44,Right,No
3,2023,SP,Taijuan Walker,30,15,6,0.714,4.38,31,31,0,0,0,0,172.2,155,87,84,20,71,1,138,8,1,3,733,98,4.53,1.309,8.1,1.0,3.7,7.2,1.94,Right,No
4,2023,SP,Ranger Suárez,27,4,6,0.4,4.18,22,22,0,0,0,0,125.0,129,59,58,13,48,0,119,2,0,4,540,103,3.9,1.416,9.3,0.9,3.5,8.6,2.48,Left,No
5,2023,SP,Cristopher Sánchez,26,3,5,0.375,3.44,19,18,1,0,0,0,99.1,88,44,38,16,16,0,96,3,0,3,396,125,3.99,1.047,8.0,1.4,1.4,8.7,6.0,Left,No
6,2023,CL,Craig Kimbrel,35,8,6,0.571,3.26,71,0,45,0,0,23,69.0,44,28,25,10,28,1,94,4,2,4,278,132,3.81,1.043,5.7,1.3,3.7,12.3,3.36,Right,No
7,2023,RP,Matt Strahm,31,9,5,0.643,3.29,56,10,6,0,0,2,87.2,68,34,32,11,21,0,108,3,1,1,351,131,3.24,1.015,7.0,1.1,2.2,11.1,5.14,Left,No
8,2023,RP,Gregory Soto,28,3,4,0.429,4.62,69,0,13,0,0,3,60.1,47,34,31,6,22,0,65,2,0,5,250,93,3.59,1.144,7.0,0.9,3.3,9.7,2.95,Left,No
9,2023,RP,Jeff Hoffman,30,5,2,0.714,2.41,54,0,13,0,0,1,52.1,29,16,14,3,19,1,69,2,0,4,208,180,2.57,0.917,5.0,0.5,3.3,11.9,3.63,Right,No
10,2023,RP,Seranthony Domínguez,28,5,5,0.5,3.78,57,0,7,0,0,2,50.0,48,25,21,7,22,0,48,6,1,1,224,114,4.84,1.4,8.6,1.3,4.0,8.6,2.18,Right,No
11,2023,,Michael Lorenzen,31,4,2,0.667,5.51,11,7,2,1,1,1,47.1,49,32,29,9,20,0,28,0,0,0,206,78,5.81,1.458,9.3,1.7,3.8,5.3,1.4,Right,No
12,2023,,José Alvarado,28,0,2,0.0,1.74,42,0,12,0,0,10,41.1,30,15,8,3,18,1,64,0,0,3,172,249,2.41,1.161,6.5,0.7,3.9,13.9,3.56,Left,No
13,2023,,Bailey Falter,26,0,7,0.0,5.13,8,7,0,0,0,0,40.1,50,30,23,7,8,0,28,0,0,0,175,84,4.72,1.438,11.2,1.6,1.8,6.2,3.5,Left,No
14,2023,,Andrew Vasquez,29,2,1,0.667,2.27,30,0,12,0,0,0,39.2,35,12,10,4,14,1,34,5,2,2,170,191,4.29,1.235,7.9,0.9,3.2,7.7,2.43,Left,No
15,2023,,Yunior Marte,28,1,1,0.5,5.03,40,0,8,0,0,2,39.1,47,27,22,6,17,0,38,1,0,0,182,86,4.68,1.627,10.8,1.4,3.9,8.7,2.24,Right,No
16,2023,,Dylan Covey,31,1,3,0.25,3.69,28,1,19,0,0,0,39.0,43,20,16,3,16,1,27,2,0,0,173,117,4.26,1.513,9.9,0.7,3.7,6.2,1.69,Right,No
17,2023,,Connor Brogdon,28,2,1,0.667,4.03,27,1,3,0,0,0,29.0,29,14,13,5,13,0,26,1,0,2,127,108,5.15,1.448,9.0,1.6,4.0,8.1,2.0,Right,No
18,2023,,Andrew Bellatti,31,1,0,1.0,5.11,27,0,4,0,0,0,24.2,25,15,14,4,12,0,25,0,0,0,113,85,4.8,1.5,9.1,1.5,4.4,9.1,2.08,Right,No
19,2023,,Luis Ortiz,27,0,0,0.0,3.32,14,0,10,0,0,1,19.0,23,7,7,1,5,0,16,0,0,0,80,132,3.04,1.474,10.9,0.5,2.4,7.6,3.2,Right,No
20,2023,,Nick Nelson,27,1,0,1.0,1.69,1,0,0,0,0,0,5.1,2,1,1,1,2,0,3,0,0,0,20,272,5.69,0.75,3.4,1.7,3.4,5.1,1.5,Right,No
21,2023,,Michael Plassmeyer,26,0,1,0.0,22.09,1,1,0,0,0,0,3.2,8,10,9,3,0,0,4,3,0,0,23,21,14.16,2.182,19.6,7.4,0.0,9.8,0.0,Left,No
22,2023,,McKinley Moore,24,0,0,0.0,18.9,3,0,0,0,0,0,3.1,5,7,7,1,5,0,2,2,0,0,21,25,12.26,3.0,13.5,2.7,13.5,5.4,0.4,Right,No
23,2023,,Orion Kerkering,22,1,0,1.0,3.0,3,0,0,0,0,0,3.0,3,1,1,0,2,0,6,0,0,0,14,160,1.26,1.667,9.0,0.0,6.0,18.0,3.0,Right,No
24,2023,,Kody Clemens,27,0,0,0.0,3.38,4,0,4,0,0,0,2.2,4,1,1,0,3,0,1,0,0,0,15,144,5.88,2.625,13.5,0.0,10.1,3.4,0.33,Right,No
25,2023,,Josh Harrison,35,0,0,0.0,27.0,2,0,2,0,0,0,1.2,8,5,5,0,2,0,0,0,0,0,15,19,6.86,6.0,43.2,0.0,10.8,0.0,0.0,Right,No
26,2023,,Erich Uelmen,27,0,0,0.0,36.0,1,0,0,0,0,0,1.0,3,4,4,0,2,0,1,0,0,0,8,16,7.26,5.0,27.0,0.0,18.0,9.0,0.5,Right,No
1,2022,SP,Aaron Nola,29,11,13,0.458,3.25,32,32,0,2,1,0,205.0,168,75,74,19,29,1,235,9,0,2,807,123,2.58,0.961,7.4,0.8,1.3,10.3,8.1,Right,No
2,2022,SP,Kyle Gibson,34,10,8,0.556,5.05,31,31,0,0,0,0,167.2,176,98,94,24,48,0,144,9,0,4,718,79,4.28,1.336,9.4,1.3,2.6,7.7,3.0,Right,No
3,2022,SP,Ranger Suárez,26,10,7,0.588,3.65,29,29,0,0,0,0,155.1,149,74,63,15,58,0,129,2,2,4,662,109,3.87,1.333,8.6,0.9,3.4,7.5,2.22,Left,No
4,2022,SP,Zack Wheeler,32,12,7,0.632,2.82,26,26,0,0,0,0,153.0,125,52,48,13,34,1,163,7,1,1,607,141,2.89,1.039,7.4,0.8,2.0,9.6,4.79,Right,No
5,2022,SP,Bailey Falter,25,6,4,0.6,3.86,20,16,3,0,0,0,84.0,85,39,36,16,17,0,74,6,0,2,349,103,4.65,1.214,9.1,1.7,1.8,7.9,4.35,Left,No
6,2022,SP,Zach Eflin,28,3,5,0.375,4.04,20,13,2,0,0,1,75.2,70,38,34,8,15,1,65,5,0,0,313,99,3.56,1.123,8.3,1.0,1.8,7.7,4.33,Right,No
7,2022,CL,Corey Knebel,30,3,5,0.375,3.43,46,0,29,0,0,12,44.2,33,22,17,4,28,3,41,2,0,2,194,117,4.46,1.366,6.6,0.8,5.6,8.3,1.46,Right,No
8,2022,RP,Andrew Bellatti,30,4,4,0.5,3.31,59,1,16,0,0,2,54.1,47,25,20,5,25,1,78,1,0,1,230,121,2.87,1.325,7.8,0.8,4.1,12.9,3.12,Right,No
9,2022,RP,José Alvarado,27,4,2,0.667,3.18,59,0,8,0,0,2,51.0,38,21,18,2,24,4,81,1,0,5,214,126,1.92,1.216,6.7,0.4,4.2,14.3,3.38,Left,No
10,2022,RP,Seranthony Domínguez,27,6,5,0.545,3.0,54,0,16,0,0,9,51.0,36,18,17,4,22,1,61,1,0,3,207,133,3.09,1.137,6.4,0.7,3.9,10.8,2.77,Right,No
11,2022,RP,Brad Hand,32,3,2,0.6,2.8,55,0,15,0,0,5,45.0,37,18,14,2,23,1,38,6,0,1,198,143,3.93,1.333,7.4,0.4,4.6,7.6,1.65,Left,No
12,2022,,Nick Nelson,26,3,2,0.6,4.85,47,2,10,0,0,1,68.2,66,38,37,1,36,0,69,4,0,13,306,82,3.04,1.485,8.7,0.1,4.7,9.0,1.92,Right,No
13,2022,,Noah Syndergaard,29,5,2,0.714,4.12,10,9,0,1,0,0,54.2,63,26,25,5,9,0,31,0,0,1,227,97,3.66,1.317,10.4,0.8,1.5,5.1,3.44,Right,No
14,2022,,Connor Brogdon,27,2,2,0.5,3.27,47,0,11,0,0,2,44.0,44,16,16,6,11,0,50,1,0,3,188,122,3.43,1.25,9.0,1.2,2.3,10.2,4.55,Right,No
15,2022,,Cristopher Sánchez,25,2,2,0.5,5.63,15,3,3,0,0,1,40.0,38,25,25,5,17,1,35,4,0,0,177,71,4.56,1.375,8.6,1.1,3.8,7.9,2.06,Left,No
16,2022,,Jeurys Familia,32,1,1,0.5,6.09,38,0,5,0,0,0,34.0,48,26,23,6,15,1,33,1,0,1,158,66,4.88,1.853,12.7,1.6,4.0,8.7,2.2,Right,No
17,2022,,David Robertson,37,1,3,0.25,2.7,22,0,11,0,0,6,23.1,16,8,7,2,16,1,30,0,0,2,99,150,3.71,1.371,6.2,0.8,6.2,11.6,1.88,Right,No
18,2022,,James Norwood,28,1,0,1.0,8.31,20,0,5,0,0,0,17.1,24,17,16,2,9,0,22,0,0,0,85,49,3.63,1.904,12.5,1.0,4.7,11.4,2.44,Right,No
19,2022,,Sam Coonrod,29,0,0,0.0,7.82,12,0,3,0,0,0,12.2,12,12,11,1,7,0,12,3,0,1,58,52,4.61,1.5,8.5,0.7,5.0,8.5,1.71,Right,No
20,2022,,Mark Appel,30,0,0,0.0,1.74,6,0,3,0,0,0,10.1,9,2,2,0,3,0,5,0,0,0,40,237,3.02,1.161,7.8,0.0,2.6,4.4,1.67,Right,No
21,2022,,Michael Plassmeyer,25,0,1,0.0,3.68,2,0,0,0,0,0,7.1,9,3,3,1,1,0,7,0,0,0,29,114,3.38,1.364,11.0,1.2,1.2,8.6,7.0,Left,No
22,2022,,Francisco Morales,22,0,0,0.0,7.2,3,0,2,0,0,1,5.0,2,5,4,1,6,0,3,1,0,0,21,59,8.71,1.6,3.6,1.8,10.8,5.4,0.5,Right,No
23,2022,,Damon Jones,27,0,0,0.0,9.64,4,0,3,0,0,0,4.2,4,5,5,0,5,0,5,3,0,1,26,45,6.11,1.929,7.7,0.0,9.6,9.6,1.0,Left,No
24,2022,,Chris Devenski,31,0,0,0.0,11.25,3,0,1,0,0,0,4.0,7,5,5,1,0,0,3,0,0,0,19,39,4.86,1.75,15.8,2.3,0.0,6.8,0.0,Right,No
25,2022,,Michael Kelly,29,0,0,0.0,2.25,4,0,3,0,0,0,4.0,3,1,1,1,1,0,4,1,0,0,16,194,5.86,1.0,6.8,2.3,2.3,9.0,4.0,Right,No
26,2022,,Garrett Stubbs,29,0,0,0.0,17.18,4,0,4,0,0,0,3.2,7,7,7,3,1,0,1,0,0,0,18,26,14.02,2.182,17.2,7.4,2.5,2.5,1.0,Right,No
27,2022,,JoJo Romero,25,0,0,0.0,13.5,2,0,1,0,0,0,2.0,4,3,3,1,1,0,1,0,0,0,10,35,10.11,2.5,18.0,4.5,4.5,4.5,1.0,Left,No
28,2022,,Vinny Nittoli,31,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0,0,0,0,1,0,1,1,0,0,8,0,5.11,0.5,0.0,0.0,4.5,4.5,1.0,Right,No
29,2022,,Nick Maton,25,0,0,0.0,20.25,2,0,2,0,0,0,1.1,4,3,3,0,0,0,0,0,0,0,8,25,3.11,3.0,27.0,0.0,0.0,0.0,0.0,Right,No
30,2022,,Nick Duron,26,0,0,0.0,0.0,1,0,0,0,0,0,1.0,2,0,0,0,0,0,1,0,0,0,4,0,1.11,2.0,18.0,0.0,0.0,9.0,0.0,Right,No
31,2022,,Bubby Rossman,30,0,0,0.0,18.0,1,0,1,0,0,0,1.0,1,2,2,1,1,0,1,0,0,0,5,31,17.11,2.0,9.0,9.0,9.0,9.0,1.0,Right,No
32,2022,,Tyler Cyr,29,0,0,0.0,27.0,1,0,1,0,0,0,0.1,2,1,1,1,0,0,0,0,0,0,3,32,42.11,6.0,54.0,27.0,0.0,0.0,0.0,Right,No
33,2022,,Darick Hall,26,0,0,0.0,0.0,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,2,0,3.11,3.0,27.0,0.0,0.0,0.0,0.0,Right,No
1,2021,SP,Zack Wheeler,31,14,10,0.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,150,2.59,1.008,7.1,0.7,1.9,10.4,5.37,Right,No
2,2021,SP,Aaron Nola,28,9,9,0.5,4.63,32,32,0,1,1,0,180.2,165,95,93,26,39,1,223,9,1,0,749,90,3.37,1.129,8.2,1.3,1.9,11.1,5.72,Right,No
3,2021,SP,Zach Eflin,27,4,7,0.364,4.17,18,18,0,0,0,0,105.2,116,52,49,15,16,2,99,3,0,2,442,100,3.68,1.249,9.9,1.3,1.4,8.4,6.19,Right,No
4,2021,SP,Vince Velasquez,29,3,6,0.333,5.95,21,17,1,0,0,0,81.2,76,55,54,17,45,2,85,4,0,2,361,70,5.59,1.482,8.4,1.9,5.0,9.4,1.89,Right,No
5,2021,SP,Matt Moore,32,2,4,0.333,6.29,24,13,5,0,0,0,73.0,78,54,51,15,38,4,63,2,0,3,334,67,5.76,1.589,9.6,1.8,4.7,7.8,1.66,Left,No
6,2021,SP,Kyle Gibson,33,4,6,0.4,5.09,12,11,0,0,0,0,69.0,66,40,39,8,23,2,61,3,1,0,294,82,4.04,1.29,8.6,1.0,3.0,8.0,2.65,Right,No
7,2021,CL,Hector Neris,32,4,7,0.364,3.63,74,0,29,0,0,12,74.1,55,34,30,12,32,3,98,4,1,4,310,115,4.08,1.17,6.7,1.5,3.9,11.9,3.06,Right,No
8,2021,RP,Connor Brogdon,26,5,4,0.556,3.43,56,1,8,0,0,1,57.2,47,27,22,6,18,2,50,1,0,2,235,122,3.78,1.127,7.3,0.9,2.8,7.8,2.78,Right,No
9,2021,RP,José Alvarado,26,7,1,0.875,4.2,64,0,10,0,0,5,55.2,42,30,26,5,47,5,68,7,1,9,251,100,4.8,1.599,6.8,0.8,7.6,11.0,1.45,Left,No
10,2021,RP,Archie Bradley,28,7,3,0.7,3.71,53,0,11,0,0,2,51.0,51,24,21,5,22,1,40,3,0,1,224,113,4.35,1.431,9.0,0.9,3.9,7.1,1.82,Right,No
11,2021,RP,Sam Coonrod,28,2,2,0.5,4.04,42,2,7,0,0,2,42.1,41,21,19,5,15,1,48,3,0,4,185,104,3.71,1.323,8.7,1.1,3.2,10.2,3.2,Right,No
12,2021,,Ranger Suárez,25,8,5,0.615,1.36,39,12,13,1,1,4,106.0,73,20,16,4,33,3,107,5,0,1,418,308,2.72,1.0,6.2,0.3,2.8,9.1,3.24,Left,No
13,2021,,Chase Anderson,33,2,4,0.333,6.75,14,9,2,0,0,0,48.0,51,36,36,10,20,1,35,3,0,0,215,62,5.86,1.479,9.6,1.9,3.8,6.6,1.75,Right,No
14,2021,,Bailey Falter,24,2,1,0.667,5.61,22,1,6,0,0,0,33.2,34,21,21,5,6,0,34,2,0,2,139,75,3.79,1.188,9.1,1.3,1.6,9.1,5.67,Left,No
15,2021,,Brandon Kintzler,36,2,1,0.667,6.37,29,1,6,0,0,0,29.2,45,23,21,7,8,2,22,1,0,0,141,66,5.66,1.787,13.7,2.1,2.4,6.7,2.75,Right,No
16,2021,,Spencer Howard,24,0,2,0.0,5.72,11,7,1,0,0,0,28.1,25,19,18,2,17,0,31,3,0,2,127,74,4.02,1.482,7.9,0.6,5.4,9.8,1.82,Right,No
17,2021,,Enyel De Los Santos,25,1,1,0.5,6.75,26,0,10,0,0,0,28.0,34,28,21,7,14,3,42,3,0,5,137,62,5.24,1.714,10.9,2.3,4.5,13.5,3.0,Right,No
18,2021,,David Hale,33,0,2,0.0,6.41,17,1,8,0,0,0,26.2,30,20,19,5,9,1,21,1,0,2,116,66,5.16,1.463,10.1,1.7,3.0,7.1,2.33,Right,No
